"video_id","title","channel_title","published_at","view_count","like_count","comment_count","category_id","category_name"
"s8cP1Vt5US8","『チェンソーマン 刺客篇』ティザーPV②／Chainsaw Man –  Assassins Arc Official Trailer 2","MAPPA CHANNEL","2026-06-19T12:44:08Z","2718217","255410","9538","1","Film & Animation"
"8aj29IQm1_Y","IEM Cologne Major 2026 - Day 15 - FULL SHOW","ESL Counter-Strike","2026-06-20T00:28:46Z","4253451","47323","129","20","Gaming"
"kofuSo_dmvs","INSANE (Official Music Video) - Black Gryph0n & Baasik","Black Gryph0n","2026-06-19T17:00:06Z","540955","104306","7014","10","Music"
"62bIsvRcPv0","SPIDER-MAN: BRAND NEW DAY – New Trailer (4K)","Sony Pictures Entertainment","2026-06-17T18:58:31Z","16634470","532421","22124","24","Entertainment"
"tm8S57Qc-wQ","Lifesteal World SMP Hosted A TALENT SHOW!","Solidarity VODS","2026-06-19T15:13:55Z","74924","441","35","20","Gaming"
"jdlCOIaWwTQ","Chris Brown - It Depends/Obvious (Official Video)","ChrisBrownVEVO","2026-06-19T14:00:37Z","433384","50182","3287","10","Music"
"xg2tN3dI_Yg","Outer Banks: Season 5 | Official Teaser | Netflix","Netflix","2026-06-18T15:00:00Z","648545","28781","1658","24","Entertainment"
"EiQEBYDox_k","Grand Theft Auto VI: Official Cover Art Reveal","Rockstar Games","2026-06-18T13:03:29Z","7935604","845949","60731","20","Gaming"
"q_B0fTQwmqs","Fredo - Favourite In The Slums ft. Marnz Malone (Official Lyric Visualiser)","FREDOPG","2026-06-18T23:00:09Z","39575","1944","56","10","Music"
"1NHS5OP73Sc","SPIDER-MAN BRAND NEW DAY TRAILER BREAKDOWN! Easter Eggs & Details You Missed!","New Rockstars","2026-06-18T04:11:10Z","1321830","36970","1832","24","Entertainment"
"x8cd49s6Xi8","Fall asleep while I build a zoo (Part 2)","MadMorph","2026-06-18T23:06:11Z","2124173","17480","758","20","Gaming"
"na4drDIOxsg","RONDO X SAN SIRO FEAT. YOUNG ADZ DBE","Rondodasosa","2026-06-19T17:00:06Z","28965","4364","408","10","Music"
"InhFFadB9WU","Dr. STONE x Crunchyroll Anime Island | Official Fortnite Watch Party Launch Trailer","Fortnite","2026-06-19T17:00:37Z","63239","3174","349","20","Gaming"
